,link,text
196,/de/mmr/reference/pre_20111031/source/pre_20111031.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 30. September 2011
197,/de/mmr/reference/pre_20111028/source/pre_20111028.de.pdf,SNB Bankrat: Fritz Studer tritt auf Ende April 2012 zurück 
198,/de/mmr/reference/pre_20110930/source/pre_20110930.de.pdf,Daniel Hanimann neuer SNB-Delegierter für Wirtschaftskontakte in der Region Nordwestschweiz
199,/de/mmr/reference/pre_20110915_2/source/pre_20110915_2.de.pdf,Zentralbanken erweitern den Zugang zu US-Dollar-Liquidität 
200,/de/mmr/reference/pre_20110915_1/source/pre_20110915_1.de.pdf,Geldpolitische Lagebeurteilung vom 15. September 2011
201,/de/mmr/reference/pre_20110906/source/pre_20110906.de.pdf,Nationalbank legt Mindestkurs von 1.20 Franken pro Euro fest
202,/de/mmr/reference/pre_20110831/source/pre_20110831.de.pdf,Fabio Bossi neuer SNB-Delegierter für Wirtschaftskontakte in der Region italienischsprachige Schweiz 
203,/de/mmr/reference/pre_20110819/source/pre_20110819.de.pdf,Die Zahlungsbilanz der Schweiz im Jahr 2010
204,/de/mmr/reference/pre_20110817/source/pre_20110817.de.pdf,Nationalbank intensiviert Massnahmen gegen die Frankenstärke 
205,/de/mmr/reference/pre_20110810/source/pre_20110810.de.pdf,Nationalbank weitet Massnahmen gegen den starken Franken aus 
206,/de/mmr/reference/pre_20110803/source/pre_20110803.de.pdf,Die Nationalbank trifft Massnahmen gegen den starken Franken
207,/de/mmr/reference/pre_20110729_2/source/pre_20110729_2.de.pdf,Martin Wyss neuer SNB-Delegierter für Wirtschaftskontakte in der Region Mittelland 
208,/de/mmr/reference/pre_20110729_1/source/pre_20110729_1.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 30. Juni 2011
