Bezirk_ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Kanton_ABK,Bezirk_Name,Kanton_ID,Kanton_Name
2309,2,6,0,6,0,5,4,0,3,2,1,6,4,1,3,6,4,10,5,5,11,10,4,14,16,6,11,20,16,37,12,13,7,12,26,VS,Raron,23,Wallis
2310,23,10,11,6,13,16,10,14,22,6,6,5,11,9,7,15,17,21,14,17,19,27,23,19,32,35,19,42,47,80,63,68,66,60,102,VS,Saint-Maurice,23,Wallis
2311,78,71,47,42,47,82,48,67,55,41,39,68,58,76,60,91,57,75,63,133,113,114,150,112,108,169,147,101,200,247,375,296,267,285,294,VS,Sierre,23,Wallis
2312,85,31,51,54,60,58,45,41,37,35,41,56,69,66,55,74,72,77,65,71,103,123,99,75,109,140,96,133,214,341,351,237,289,273,255,VS,Sion,23,Wallis
2313,33,12,4,15,23,8,13,18,21,15,16,11,26,21,12,38,18,19,18,31,35,27,32,59,43,59,58,16,66,124,111,155,62,141,100,VS,Visp,23,Wallis
2401,99,72,43,76,52,84,73,50,66,48,47,55,61,82,90,113,115,142,133,105,130,115,189,212,192,231,240,116,416,230,111,158,176,206,176,NE,Boudry,24,Neuenburg
2402,74,82,71,63,71,76,70,87,74,62,62,66,78,60,51,152,77,215,161,128,122,196,257,173,282,302,292,160,579,453,241,337,182,302,231,NE,La Chaux-de-Fonds,24,Neuenburg
2403,21,21,17,21,14,26,24,30,17,22,17,11,18,23,25,53,25,45,74,52,50,67,72,85,85,93,110,57,187,64,55,84,54,39,81,NE,Le Locle,24,Neuenburg
2404,158,129,94,106,124,117,99,138,99,106,75,106,115,139,149,177,293,194,241,150,281,213,341,332,428,365,465,274,712,591,330,376,343,355,372,NE,Neuchâtel,24,Neuenburg
2405,28,26,22,18,28,29,22,27,7,15,17,13,20,24,24,48,21,43,30,21,34,28,43,47,72,59,61,41,148,65,47,50,24,73,65,NE,Val-de-Ruz,24,Neuenburg
2406,24,14,18,23,24,29,23,25,15,23,6,20,10,20,23,34,23,26,36,28,36,32,38,49,58,71,50,19,104,51,58,34,39,40,30,NE,Val-de-Travers,24,Neuenburg
